text,sentiment
duh indosat mengecewakan . aku mau daftar baru kok malah kena tarif per kb ? pulsa berkurrang drastis,negative
saya sebagai warga jakarta malu kang sama oknum yang tidak bertanggung jawab yang mau sweeping bobotoh,negative
iya ti 120 ribu . saya juga sudah cek tokopedia resmi nya jeketi .,neutral
tidak mau tahu . balik in pulsa saya . ini nama nya perampokan . paket nelp kalian juga perampokan . baru ini saya komplain .,negative
"bus nya tidak nyaman mbak tidak sesuai dengan yang diomongin atasan , belum makanan nya kurang enak banget , lalu tempat wisata tujuan nya yang mengecewakan :",negative
"rekan saudara ku mca , mari viralkan untuk menolak marsekal hadi tjahjanto menjadi panglima tni , karena mantan ajudan megawati dan titipan pdip atheis . namun kita dukung kasad dari tni ada atau kasal dari tni al untuk menjadi panglima tni . ayo kita sampaikan suara kita ke dpr karena tni milik rakyat bukan milik partai pdip .",negative
makan di restoran pizza ini paling enak jika bersama teman . menikmati paket sensasi delight yang harga nya sangat terjangkau oleh semua kalangan .,positive
copot dari keanggotaan polisi saja . daripada jadi perusak nama baik korp .,negative
"xiaomi , samsung , tergantung sih kamu mau tipe apa dan sesuai biaya yang kamu punya , tanya-tanya aja ke tempat yang jual hp nya",neutral
syukurlah saya agama kristen sehingga saya terhindar dari agama islam yang sesat dan tuhan palsu . syukurlah .,negative
"kampung daun merupakan tempat makan dengan suasana alam yang sejuk . terletakdi kabupaten bandung . suasana nya sangat menyenangkan sekali , di sekitar nya ditumbuhi pepohonan yang rindang , se olah olah berada di tengah hutan , dengan lingkungan yang teduh ditambah dengan suguhan makanan khas sunda yang rasanya ada pedas pedas nya menambah asik nya suasana . tidak hanya makanan nya , aneka minuman khas jawa barat pun ada .",positive
"kasihan sekali kamu bos , siapa lagi yang mau dengar nyinyiran yang tidak bermutu , lebih baik diam saja . nikmati mpp saja . oke",negative
"sekjen pdip : kami pernah diintervensi , tapi tak buat puisi mellow dramatik",neutral
"sebenarnya pr netizen sudah bisa agak cair dengan demokrat . eh si arief pula yang buka luka lama , yang rugi kan partai say , ... bagaimana nih pak",negative
"suara lirik today : menggebrak , demokrat siap masukkan 30 ribu ktp dukung iyl - cakka",neutral
"pasangan wardan - su tidak hadiri konferensi pers koalisi partai golkar dan pan , ini tanggapan dpd pan",neutral
makanan nya enak-enak dan semua worthy ! dari sajian pembuka nya sudah bikin ingin menambah ! ditambah main corse nya yang ukuran jumbo . tidak menyesal deh makan ke sini,positive
"berada di lembang , pemandangan indah , udara sejuk , penataan resto yang bagus , dilengkapi dengan makanan yang sangat nikmat . pilihan menu beragam dan minuman yang lengkap . lingkungan yang cocok untuk makan berdua dengan pasangan , membawa keluarga ataupun bersama dengan teman . lapangan parkir luas . restoran yang berkonsep terbuka ini membuat udara lembang sangat terasa sejuk nya .",positive
"enak banget di siniii semua makanan ada dari yang kuah , bakar , goreng , appetizer , soup , main course , makanan penutup , makanan panas , makanan dingin , seafood , non seafood , sayuran semua ada lengkap",positive
"tempat nyaman , retro . menu andalan nya adalah grill , tapi saya pesan nasi goreng sea food , dan rasanya enak",positive
pemandangan nya kereen banget . makanan nya enak dan banyak pilihan . staf nya ramah-ramah . rasa makanan nya tinggi,positive
"pertama coba dan langsung suka ! waktu itu pesan bakmi komplet . enak banget . mie nya kenyal . tidak terlalu kecil , tidak terlalu besar . porsi nya besar , daging nya juga banyak , ada jamur nya juga . harga terjangkau sesuai porsi .",positive
"memang brengsek acara zaman sekarang sumpah tidak guna membosankan , tidak bermutu dan benar-benar menyedihkan . heran saja acara kayak gitu kok malah bangga senang goblok memang acara alay itu !? apalagi orang nya yang di dalam acara itu . wah goblok semua !",negative
"tempat makan pasta yang sudah tidak asing lagi apa lagi kalau bukan pizza hut . posisi pizza di tempat ini sangat nyaman inside mal atau outside mal berhadapan langsung dengan jalan merdeka anda bisa memanjakan mata sekadar melihat rutinitas orang-orang di sekeliling , letak sangat strategis dapat di lalu dengan angkutan umum .",positive
"dusun bambu tempat nya sangat cocok buat menghilangkan kepenatan . dari imam seniman , saya langsung ke dusun bambu . kira-kira perjalanan kami sekitar 30 menit . suasana nya asri , udara yang bersih . di situ ada tpt nama nya lutung kas arung . tempat nya di atas pohon . dan kami bertanya ke reservasi ternyata lutung kasarung tidak bisa buat 2 orang . ya , akhirnya kami kecewa .",negative
"hai kakak , pembayaran dapat dicoba kembali melalui va bni dengan no rek 9880988622415253 dan kirim bukti bayar melalui email info : 1500 - 6339",neutral
"pemilu 1955 adalah awal mula pertarungan ideologi parpol-parpol di indonesia : nasionalis , komunis , dan islam .",neutral
"ke bisa tolong cek nomor telepon genggam 08156189559 an . ari abdullah , karena telepon genggam adik saya kecopetan , terima kasih .",neutral
"kemarin saya berkunjung ke dusun bambu dengan keluarga saya , padahal saya datang tidak saat liburan , tapi pengunjung bisa dibilang ramai . ini kunjungan ketiga kalinya untuk saya , saat pertama ke sini belum ada wilayah bamboo playground dan rabbit wonderland . untuk masuk ke bamboo playground anda akan diminta membayar tiket sebesar 50k , sedangkan untuk wonderland anda membayar 35k ada 2 konsep tempat makan . saya tidak akan bosan main ke sini .",positive
mobil toyota rush mengalami kecelakaan di ruas tol jomo jombang - mojokerto .,neutral
"partai dukung uu perppu ormas dengan syarat hanya alasan semata , bukti nya sampai sekarang belum direvisi",negative
buat saja patung buddha maitreya . jual saja ke komunis . biar di sembah,negative
"hai , ya , silakan kamu dapat mencoba lakukan pembayaran pdam di bukalapak .",neutral
kasihan deh susulan nya lisan : lol mana ada jam matkul ham 10.10 anjing,negative
bca karena sistem bank nya lebih baik dan berstruktur ketimbang yang lain .,positive
