text,sentiment,cleaning,casefolding,tokenizing,normalisasi,stopword,steeming,cleaned
"agak lama , dan rasa makanan standar masakan rumahan . tempat agak kecil tapi cukup nyaman , sayang nya kalau siang hari agak panas .",negative,agak lama dan rasa makanan standar masakan rumahan tempat agak kecil tapi cukup nyaman sayang nya kalau siang hari agak panas ,agak lama dan rasa makanan standar masakan rumahan tempat agak kecil tapi cukup nyaman sayang nya kalau siang hari agak panas ,"['agak', 'lama', 'dan', 'rasa', 'makanan', 'standar', 'masakan', 'rumahan', 'tempat', 'agak', 'kecil', 'tapi', 'cukup', 'nyaman', 'sayang', 'nya', 'kalau', 'siang', 'hari', 'agak', 'panas']","['agak', 'lama', 'dan', 'rasa', 'makanan', 'standar', 'masakan', 'rumahan', 'tempat', 'agak', 'kecil', 'tapi', 'cukup', 'nyaman', 'sayang', 'nya', 'kalau', 'siang', 'hari', 'agak', 'panas']","['makanan', 'standar', 'masakan', 'rumahan', 'nyaman', 'sayang', 'nya', 'siang', 'panas']","['makan', 'standar', 'masakan', 'rumah', 'nyaman', 'sayang', 'nya', 'siang', 'panas']",makan standar masakan rumah nyaman sayang nya siang panas
"kereta mutiara timur malam , sby - bnywangi eksekutif tetapi kursi jorok dan kotor sekali . tidak sesuai dengan harga yang sangat mahal , sangat mengecewakan",negative,kereta mutiara timur malam sby bnywangi eksekutif tetapi kursi jorok dan kotor sekali tidak sesuai dengan harga yang sangat mahal sangat mengecewakan,kereta mutiara timur malam sby bnywangi eksekutif tetapi kursi jorok dan kotor sekali tidak sesuai dengan harga yang sangat mahal sangat mengecewakan,"['kereta', 'mutiara', 'timur', 'malam', 'sby', 'bnywangi', 'eksekutif', 'tetapi', 'kursi', 'jorok', 'dan', 'kotor', 'sekali', 'tidak', 'sesuai', 'dengan', 'harga', 'yang', 'sangat', 'mahal', 'sangat', 'mengecewakan']","['kereta', 'mutiara', 'timur', 'malam', 'surabaya', 'bnywangi', 'eksekutif', 'tetapi', 'kursi', 'jorok', 'dan', 'kotor', 'sekali', 'tidak', 'sesuai', 'dengan', 'harga', 'yang', 'sangat', 'mahal', 'sangat', 'mengecewakan']","['kereta', 'mutiara', 'timur', 'malam', 'surabaya', 'bnywangi', 'eksekutif', 'kursi', 'jorok', 'kotor', 'sesuai', 'harga', 'mahal', 'mengecewakan']","['kereta', 'mutiara', 'timur', 'malam', 'surabaya', 'bnywangi', 'eksekutif', 'kursi', 'jorok', 'kotor', 'sesuai', 'harga', 'mahal', 'kecewa']",kereta mutiara timur malam surabaya bnywangi eksekutif kursi jorok kotor sesuai harga mahal kecewa
"jus tebu ini letak nya di bec . kita bisa lihat proses penggilingan tebu nya , jadi masih segar begitu tebu nya . rasanya enak dan segar karena dari tebu asli . untuk harga memang agak mahal sekitar 10 ribu an tapi setimpal dengan rasanya yang enak . saya sudah beberapa kali beli jus tebu ini dan rekomendasi kalau setelah cape jalan-jalan di bec .",positive,jus tebu ini letak nya di bec kita bisa lihat proses penggilingan tebu nya jadi masih segar begitu tebu nya rasanya enak dan segar karena dari tebu asli untuk harga memang agak mahal sekitar ribu an tapi setimpal dengan rasanya yang enak saya sudah beberapa kali beli jus tebu ini dan rekomendasi kalau setelah cape jalan jalan di bec ,jus tebu ini letak nya di bec kita bisa lihat proses penggilingan tebu nya jadi masih segar begitu tebu nya rasanya enak dan segar karena dari tebu asli untuk harga memang agak mahal sekitar ribu an tapi setimpal dengan rasanya yang enak saya sudah beberapa kali beli jus tebu ini dan rekomendasi kalau setelah cape jalan jalan di bec ,"['jus', 'tebu', 'ini', 'letak', 'nya', 'di', 'bec', 'kita', 'bisa', 'lihat', 'proses', 'penggilingan', 'tebu', 'nya', 'jadi', 'masih', 'segar', 'begitu', 'tebu', 'nya', 'rasanya', 'enak', 'dan', 'segar', 'karena', 'dari', 'tebu', 'asli', 'untuk', 'harga', 'memang', 'agak', 'mahal', 'sekitar', 'ribu', 'an', 'tapi', 'setimpal', 'dengan', 'rasanya', 'yang', 'enak', 'saya', 'sudah', 'beberapa', 'kali', 'beli', 'jus', 'tebu', 'ini', 'dan', 'rekomendasi', 'kalau', 'setelah', 'cape', 'jalan', 'jalan', 'di', 'bec']","['jus', 'tebu', 'ini', 'letak', 'nya', 'di', 'bec', 'kita', 'bisa', 'lihat', 'proses', 'penggilingan', 'tebu', 'nya', 'jadi', 'masih', 'segar', 'begitu', 'tebu', 'nya', 'rasanya', 'enak', 'dan', 'segar', 'karena', 'dari', 'tebu', 'asli', 'untuk', 'harga', 'memang', 'agak', 'mahal', 'sekitar', 'ribu', 'an', 'tapi', 'setimpal', 'dengan', 'rasanya', 'yang', 'enak', 'saya', 'sudah', 'beberapa', 'kali', 'beli', 'jus', 'tebu', 'ini', 'dan', 'rekomendasi', 'kalau', 'setelah', 'capek', 'jalan', 'jalan', 'di', 'bec']","['jus', 'tebu', 'letak', 'nya', 'bec', 'lihat', 'proses', 'penggilingan', 'tebu', 'nya', 'segar', 'tebu', 'nya', 'enak', 'segar', 'tebu', 'asli', 'harga', 'mahal', 'ribu', 'an', 'setimpal', 'enak', 'kali', 'beli', 'jus', 'tebu', 'rekomendasi', 'capek', 'jalan', 'jalan', 'bec']","['jus', 'tebu', 'letak', 'nya', 'bec', 'lihat', 'proses', 'giling', 'tebu', 'nya', 'segar', 'tebu', 'nya', 'enak', 'segar', 'tebu', 'asli', 'harga', 'mahal', 'ribu', 'an', 'timpal', 'enak', 'kali', 'beli', 'jus', 'tebu', 'rekomendasi', 'capek', 'jalan', 'jalan', 'bec']",jus tebu letak nya bec lihat proses giling tebu nya segar tebu nya enak segar tebu asli harga mahal ribu an timpal enak kali beli jus tebu rekomendasi capek jalan jalan bec
"vila di rumah stroberi pilihan yang tepat untuk liburan dan berkumpul dengan terluargab atau pun teman kantor . terdapat kolam renang di dalam villa untuk bersantai , omelet rumah stroberi pun lumayan enak untuk sarapan pagi . kita juga bisa memetik sendiri stroberi yang akan dibeli , benar-benar wisata keluarga yang menyenangkan .",positive,vila di rumah stroberi pilihan yang tepat untuk liburan dan berkumpul dengan terluargab atau pun teman kantor terdapat kolam renang di dalam villa untuk bersantai omelet rumah stroberi pun lumayan enak untuk sarapan pagi kita juga bisa memetik sendiri stroberi yang akan dibeli benar benar wisata keluarga yang menyenangkan ,vila di rumah stroberi pilihan yang tepat untuk liburan dan berkumpul dengan terluargab atau pun teman kantor terdapat kolam renang di dalam villa untuk bersantai omelet rumah stroberi pun lumayan enak untuk sarapan pagi kita juga bisa memetik sendiri stroberi yang akan dibeli benar benar wisata keluarga yang menyenangkan ,"['vila', 'di', 'rumah', 'stroberi', 'pilihan', 'yang', 'tepat', 'untuk', 'liburan', 'dan', 'berkumpul', 'dengan', 'terluargab', 'atau', 'pun', 'teman', 'kantor', 'terdapat', 'kolam', 'renang', 'di', 'dalam', 'villa', 'untuk', 'bersantai', 'omelet', 'rumah', 'stroberi', 'pun', 'lumayan', 'enak', 'untuk', 'sarapan', 'pagi', 'kita', 'juga', 'bisa', 'memetik', 'sendiri', 'stroberi', 'yang', 'akan', 'dibeli', 'benar', 'benar', 'wisata', 'keluarga', 'yang', 'menyenangkan']","['vila', 'di', 'rumah', 'stroberi', 'pilihan', 'yang', 'tepat', 'untuk', 'liburan', 'dan', 'berkumpul', 'dengan', 'terluargab', 'atau', 'pun', 'teman', 'kantor', 'terdapat', 'kolam', 'renang', 'di', 'dalam', 'villa', 'untuk', 'bersantai', 'omelet', 'rumah', 'stroberi', 'pun', 'lumayan', 'enak', 'untuk', 'sarapan', 'pagi', 'kita', 'juga', 'bisa', 'memetik', 'sendiri', 'stroberi', 'yang', 'akan', 'dibeli', 'benar', 'benar', 'wisata', 'keluarga', 'yang', 'menyenangkan']","['vila', 'rumah', 'stroberi', 'pilihan', 'liburan', 'berkumpul', 'terluargab', 'teman', 'kantor', 'kolam', 'renang', 'villa', 'bersantai', 'omelet', 'rumah', 'stroberi', 'lumayan', 'enak', 'sarapan', 'pagi', 'memetik', 'stroberi', 'dibeli', 'wisata', 'keluarga', 'menyenangkan']","['vila', 'rumah', 'stroberi', 'pilih', 'libur', 'kumpul', 'terluargab', 'teman', 'kantor', 'kolam', 'renang', 'villa', 'santa', 'omelet', 'rumah', 'stroberi', 'lumayan', 'enak', 'sarap', 'pagi', 'petik', 'stroberi', 'beli', 'wisata', 'keluarga', 'senang']",vila rumah stroberi pilih libur kumpul terluargab teman kantor kolam renang villa santa omelet rumah stroberi lumayan enak sarap pagi petik stroberi beli wisata keluarga senang
"retoran sapu lidi di bandung utara persis nya di daerah kompleks perumahan , dan rumah makan ini dikelilingin sawah dan kolam . sambal nya enak .",positive,retoran sapu lidi di bandung utara persis nya di daerah kompleks perumahan dan rumah makan ini dikelilingin sawah dan kolam sambal nya enak ,retoran sapu lidi di bandung utara persis nya di daerah kompleks perumahan dan rumah makan ini dikelilingin sawah dan kolam sambal nya enak ,"['retoran', 'sapu', 'lidi', 'di', 'bandung', 'utara', 'persis', 'nya', 'di', 'daerah', 'kompleks', 'perumahan', 'dan', 'rumah', 'makan', 'ini', 'dikelilingin', 'sawah', 'dan', 'kolam', 'sambal', 'nya', 'enak']","['retoran', 'sapu', 'lidi', 'di', 'bandung', 'utara', 'persis', 'nya', 'di', 'daerah', 'kompleks', 'perumahan', 'dan', 'rumah', 'makan', 'ini', 'dikelilingin', 'sawah', 'dan', 'kolam', 'sambal', 'nya', 'enak']","['retoran', 'sapu', 'lidi', 'bandung', 'utara', 'persis', 'nya', 'daerah', 'kompleks', 'perumahan', 'rumah', 'makan', 'dikelilingin', 'sawah', 'kolam', 'sambal', 'nya', 'enak']","['retoran', 'sapu', 'lidi', 'bandung', 'utara', 'persis', 'nya', 'daerah', 'kompleks', 'rumah', 'rumah', 'makan', 'dikelilingin', 'sawah', 'kolam', 'sambal', 'nya', 'enak']",retoran sapu lidi bandung utara persis nya daerah kompleks rumah rumah makan dikelilingin sawah kolam sambal nya enak
steak yang dihidangkan dari sisi ukuran dan kenikmatan berasa langsung ditambah saus steak nya yang kurang kental sesuai dengan harga,positive,steak yang dihidangkan dari sisi ukuran dan kenikmatan berasa langsung ditambah saus steak nya yang kurang kental sesuai dengan harga,steak yang dihidangkan dari sisi ukuran dan kenikmatan berasa langsung ditambah saus steak nya yang kurang kental sesuai dengan harga,"['steak', 'yang', 'dihidangkan', 'dari', 'sisi', 'ukuran', 'dan', 'kenikmatan', 'berasa', 'langsung', 'ditambah', 'saus', 'steak', 'nya', 'yang', 'kurang', 'kental', 'sesuai', 'dengan', 'harga']","['steak', 'yang', 'dihidangkan', 'dari', 'sisi', 'ukuran', 'dan', 'kenikmatan', 'berasa', 'langsung', 'ditambah', 'saus', 'steak', 'nya', 'yang', 'kurang', 'kental', 'sesuai', 'dengan', 'harga']","['steak', 'dihidangkan', 'sisi', 'ukuran', 'kenikmatan', 'berasa', 'langsung', 'ditambah', 'saus', 'steak', 'nya', 'kental', 'sesuai', 'harga']","['steak', 'hidang', 'sisi', 'ukur', 'nikmat', 'asa', 'langsung', 'tambah', 'saus', 'steak', 'nya', 'kental', 'sesuai', 'harga']",steak hidang sisi ukur nikmat asa langsung tambah saus steak nya kental sesuai harga
"letak rm ampera ini berada di jalan . soekarno hatta yang berada di jalan utama perbatasan kota . tempat nya luas dan terdapat arena bermain anak , cocok untuk membawa keluarga .",positive,letak rm ampera ini berada di jalan soekarno hatta yang berada di jalan utama perbatasan kota tempat nya luas dan terdapat arena bermain anak cocok untuk membawa keluarga ,letak rm ampera ini berada di jalan soekarno hatta yang berada di jalan utama perbatasan kota tempat nya luas dan terdapat arena bermain anak cocok untuk membawa keluarga ,"['letak', 'rm', 'ampera', 'ini', 'berada', 'di', 'jalan', 'soekarno', 'hatta', 'yang', 'berada', 'di', 'jalan', 'utama', 'perbatasan', 'kota', 'tempat', 'nya', 'luas', 'dan', 'terdapat', 'arena', 'bermain', 'anak', 'cocok', 'untuk', 'membawa', 'keluarga']","['letak', 'rm', 'ampera', 'ini', 'berada', 'di', 'jalan', 'soekarno', 'hatta', 'yang', 'berada', 'di', 'jalan', 'utama', 'perbatasan', 'kota', 'tempat', 'nya', 'luas', 'dan', 'terdapat', 'arena', 'bermain', 'anak', 'cocok', 'untuk', 'membawa', 'keluarga']","['letak', 'rm', 'ampera', 'jalan', 'soekarno', 'hatta', 'jalan', 'utama', 'perbatasan', 'kota', 'nya', 'luas', 'arena', 'bermain', 'anak', 'cocok', 'membawa', 'keluarga']","['letak', 'rm', 'ampera', 'jalan', 'soekarno', 'hatta', 'jalan', 'utama', 'batas', 'kota', 'nya', 'luas', 'arena', 'main', 'anak', 'cocok', 'bawa', 'keluarga']",letak rm ampera jalan soekarno hatta jalan utama batas kota nya luas arena main anak cocok bawa keluarga
ketua dpr ri yang baru tersebut rencana nya berasal dari partai golkar untuk menggantikan setya novanto . cocok nya golkar menunjuk nusron wahid sebagai ketua dpr,neutral,ketua dpr ri yang baru tersebut rencana nya berasal dari partai golkar untuk menggantikan setya novanto cocok nya golkar menunjuk nusron wahid sebagai ketua dpr,ketua dpr ri yang baru tersebut rencana nya berasal dari partai golkar untuk menggantikan setya novanto cocok nya golkar menunjuk nusron wahid sebagai ketua dpr,"['ketua', 'dpr', 'ri', 'yang', 'baru', 'tersebut', 'rencana', 'nya', 'berasal', 'dari', 'partai', 'golkar', 'untuk', 'menggantikan', 'setya', 'novanto', 'cocok', 'nya', 'golkar', 'menunjuk', 'nusron', 'wahid', 'sebagai', 'ketua', 'dpr']","['ketua', 'dpr', 'ri', 'yang', 'baru', 'tersebut', 'rencana', 'nya', 'berasal', 'dari', 'partai', 'golkar', 'untuk', 'menggantikan', 'setya', 'novanto', 'cocok', 'nya', 'golkar', 'menunjuk', 'nusron', 'wahid', 'sebagai', 'ketua', 'dpr']","['ketua', 'dpr', 'ri', 'rencana', 'nya', 'berasal', 'partai', 'golkar', 'menggantikan', 'setya', 'novanto', 'cocok', 'nya', 'golkar', 'nusron', 'wahid', 'ketua', 'dpr']","['ketua', 'dpr', 'ri', 'rencana', 'nya', 'asal', 'partai', 'golkar', 'ganti', 'setya', 'novanto', 'cocok', 'nya', 'golkar', 'nusron', 'wahid', 'ketua', 'dpr']",ketua dpr ri rencana nya asal partai golkar ganti setya novanto cocok nya golkar nusron wahid ketua dpr
"cari di bukalapak saja . kalau kepepet , sementara bisa gunakan punya redmi 4a .",neutral,cari di bukalapak saja kalau kepepet sementara bisa gunakan punya redmi a ,cari di bukalapak saja kalau kepepet sementara bisa gunakan punya redmi a ,"['cari', 'di', 'bukalapak', 'saja', 'kalau', 'kepepet', 'sementara', 'bisa', 'gunakan', 'punya', 'redmi', 'a']","['cari', 'di', 'bukalapak', 'saja', 'kalau', 'kepepet', 'sementara', 'bisa', 'gunakan', 'punya', 'redmi', 'a']","['cari', 'bukalapak', 'kepepet', 'redmi', 'a']","['cari', 'bukalapak', 'pepet', 'redmi', 'a']",cari bukalapak pepet redmi a
"tempat makan pasta yang sudah tidak asing lagi apa lagi kalau bukan pizza hut . posisi pizza di tempat ini sangat nyaman inside mal atau outside mal berhadapan langsung dengan jalan merdeka anda bisa memanjakan mata sekadar melihat rutinitas orang-orang di sekeliling , letak sangat strategis dapat di lalu dengan angkutan umum .",positive,tempat makan pasta yang sudah tidak asing lagi apa lagi kalau bukan pizza hut posisi pizza di tempat ini sangat nyaman inside mal atau outside mal berhadapan langsung dengan jalan merdeka anda bisa memanjakan mata sekadar melihat rutinitas orang orang di sekeliling letak sangat strategis dapat di lalu dengan angkutan umum ,tempat makan pasta yang sudah tidak asing lagi apa lagi kalau bukan pizza hut posisi pizza di tempat ini sangat nyaman inside mal atau outside mal berhadapan langsung dengan jalan merdeka anda bisa memanjakan mata sekadar melihat rutinitas orang orang di sekeliling letak sangat strategis dapat di lalu dengan angkutan umum ,"['tempat', 'makan', 'pasta', 'yang', 'sudah', 'tidak', 'asing', 'lagi', 'apa', 'lagi', 'kalau', 'bukan', 'pizza', 'hut', 'posisi', 'pizza', 'di', 'tempat', 'ini', 'sangat', 'nyaman', 'inside', 'mal', 'atau', 'outside', 'mal', 'berhadapan', 'langsung', 'dengan', 'jalan', 'merdeka', 'anda', 'bisa', 'memanjakan', 'mata', 'sekadar', 'melihat', 'rutinitas', 'orang', 'orang', 'di', 'sekeliling', 'letak', 'sangat', 'strategis', 'dapat', 'di', 'lalu', 'dengan', 'angkutan', 'umum']","['tempat', 'makan', 'pasta', 'yang', 'sudah', 'tidak', 'asing', 'lagi', 'apa', 'lagi', 'kalau', 'bukan', 'pizza', 'hut', 'posisi', 'pizza', 'di', 'tempat', 'ini', 'sangat', 'nyaman', 'inside', 'mal', 'atau', 'outside', 'mal', 'berhadapan', 'langsung', 'dengan', 'jalan', 'merdeka', 'anda', 'bisa', 'memanjakan', 'mata', 'sekadar', 'melihat', 'rutinitas', 'orang', 'orang', 'di', 'sekeliling', 'letak', 'sangat', 'strategis', 'dapat', 'di', 'lalu', 'dengan', 'angkutan', 'umum']","['makan', 'pasta', 'asing', 'pizza', 'hut', 'posisi', 'pizza', 'nyaman', 'inside', 'mal', 'outside', 'mal', 'berhadapan', 'langsung', 'jalan', 'merdeka', 'memanjakan', 'mata', 'rutinitas', 'orang', 'orang', 'sekeliling', 'letak', 'strategis', 'angkutan']","['makan', 'pasta', 'asing', 'pizza', 'hut', 'posisi', 'pizza', 'nyaman', 'inside', 'mal', 'outside', 'mal', 'hadap', 'langsung', 'jalan', 'merdeka', 'manja', 'mata', 'rutinitas', 'orang', 'orang', 'keliling', 'letak', 'strategis', 'angkut']",makan pasta asing pizza hut posisi pizza nyaman inside mal outside mal hadap langsung jalan merdeka manja mata rutinitas orang orang keliling letak strategis angkut
