text,sentiment
"pajak , kak , mau minta nomor efin , sebelumnya sudah aktifasi , tapi lupa password akun djponline ,",neutral
"untuk akses ke sini memang cukup terbilang susah , disarankan naik motor sih hehe . makanan nya enak dan pemandangan nya enak banget terbayar deh kalau ke sini hehe . bagus untuk foto foto apalagi dengan pasangan , makan nya terbilang standar kafe pas di kantong hehe . kalau kalian tahu ke bukit keraton , pasti melewati kafe ini",positive
tidak usah sok galau tentang kepribadian orang lain ! tidak mau juga kan kalau lo digituuin,negative
"akhirnya makan lagi di sini setelah sekian lama tidak menginjak lembang dan kecewa berat saya makan bersama keluarga di lembang , sebelah rm ampera . ayam goreng kuning nya tidak berasa asin , ayam bakar nya hanya rasa kecap . daging nya keras , dan banyak lalat mana-mana :",negative
"berlokasi di salah satu tempat belanja dan rekreasi di cihampelas wali bandung , resto ini tidak mengecewakan . sajian nya cukup beragam . untuk rasanya , resto ini bisa menyajikan nya dengan cukup enak dan nikmat , sangat cocok untuk bersantap dengan pasangan atau keluarga .",positive
"tempat makan yang sangat nyaman dan sajian makanan dan minuman yang sangat selera sunda , dengan harga makanan dan minuman kelas menengah ke atas dan rasanya sangat enak semua dan porsi nya cukup banyak . makan di saung sangat nikmat karena diiringi musik sunda dan kucuran air .",positive
id pernah waktu dapat kerjaan desain di toko roti mulai jam 8 pgi mengerjakan sampai jam 6 besok pagi baru pulang dari toko roti,neutral
"akan terus lakukan penggusuran di kawasan sunda kelapa , habisi semua pribumi miskin",negative
"bpjskesehatanri sebenarnya punya banyak karyawan busuk , hanya saja pegawai yang lain tidak melaporkan langsung ke pusat , dan atasan karyawan busuk itu tidak menindaklanjuti keluhan karyawan lain .",negative
"dalam sajian piring yang berbentuk kotak serta rapi , membuat menu yang terhidang menjadi lebih menarik . rasa juga enak memenuhi selera , dengan staf restoran yang sangat informatif . mencoba sayuran lotek dan karedok , ternyata selain segar , juga nikmat . bumbu yang disajikan sempurna . lezat sekali . selain itu restoran ini juga menyediakan berbagai masakan indonesia , cireng , pempek , dan dessert yang lezat .",positive
"letak rm ampera ini berada di jalan . soekarno hatta yang berada di jalan utama perbatasan kota . tempat nya luas dan terdapat arena bermain anak , cocok untuk membawa keluarga .",positive
"semua makana nya serba babi dengan berbagai macam kombinasi dengan rasa yang enak , dengan minuman yang menyegarkan cocok until makan pagi siang dan malam dengan suasa ruangan ala kafe",positive
"parkiran cukup luas dengan tambahan parkir di pinggir jalan yang terkoordinasi dengan baik . ruang restoran cukup luas dan nyaman , dan makanan nya : memuaskan ! ikan nya ada pilihan berup ikan hidup atau ikan segar yang disimpan di dalam peti es . menu kepiting meskipun saya tidak makan kepiting karena alasan agama , tapi kebetulan tiap ke sini , anggota tema selalu memesan kepiting nya sangat menggugah selera .",positive
"mi aceh bang jaly di tanah kusir tidak rekomendasi pelayanan parah sudah pesan hampir sejam tapi pesanan tidak selesai , malahan orang lain yang baru datang dengan menu yang sama tidak pakai tunggu lama langsung jadi",negative
"tempat nongkrong di area dekat riau , tempat nya nyaman banget dengan menu makanan yang sangat bervariasi , mulai dari japanese , masakan jawa dan makanan barat , dessert nya oke banget . waktu aku ke sini coba triple creeme bulle . pilihan tempat duduk smoking atau tidak merokok disesuaikan dengan kemauan kita , lalu buat ngumpul-ngumpul dan foto-foto bareng teman-teman . jadi . direkomendasikan banget .",positive
"maklumlah kalau jokowi itu baperan , klaim meng klaim memang itu saja bisa nya , pokok nya presiden ri satu ini alay , lebay , capcay dan puyung hai .",negative
"waktu itu ke sini pesan nasi goreng dan kentang goreng , nasi goreng nya semua suka . kentang goreng nya enak banget , dan presentasi nya bagus . keluarga bilang kopi nya enak . hal yang sangat baik di sini adalah tempat nya luas dan yang di luar bisa lihat pemandangan dusun bambu , tapi pelayanan nya tidak cepat sehingga saya harus bertanya beberapa kali tentang pesanan saya . harga nya cukup mahal , namun karena makanan nya enak semua jadi terbayarkan . tidak perlu pikir dua kali jika mau ke tempat ini lagi .",positive
pengamat politik dari forum masyarakat peduli parlemen indonesia lucius karus mengungkapkan sejumlah faktor yang menyebabkan pemilih berpaling dari partai demokrat .,neutral
"tempat yang cocok untuk relax dengan keluarga , pelayanan nya bagus , makanan enak dan yang pemandangan / pemandangan nya mantap .",positive
inti nya yang dukung ahok itu goblok dan tidak bermoral . halal darah nya dibunuh dan halal juga kalau wanita diperkosa ramai-ramai .,negative
orang pas ambek demokrat tidak usah sok-sokan akur . dari dulu kayak udah musuhan kali .,neutral
"waktu ke sini sore hari bersama keluarga . suasana tempat ini nyaman dengan pemandangan alam yang sejuk udara nya . kemarin cobalah minuman leci yougurt sama pisang goreng coklat , kedua menu yang saya dicoba ini enak .",positive
"saya melakukan 5 transaksi pada tanggal . 22 juni , smua nya decline nyata ter debit dari rekening hampir 7 juta , dari 5 transaksi baru 3 transaksi yang dikembalikan",neutral
"benar-benar ancur negara aing . kabar dari cianjur selatan , para anjing-anjing yang pura-pura gila sudah sampai tanggeung cianjur selatan . dia berencana membunuh ulama tanggeung kiayi h din din tapi alhamdulillah bisa ditangkap .",negative
"maret 2017 pemberitaan ketum parpol tak sepanas pebruari , ketum golkar kala itu memuncaki pemberitaan dengan 380 berita posisi kedua ketum .",neutral
"steak di sini enak dengan porsi yang cukup besar . japanese beef nya lembut dan juicy . tenderloin nya juga enak . baik yang welldone maupun medium rare . medium rare nya pas . matang dilapisan luar , bagian dalam nya juicy . saus nya boleh pilih , . biasanya saya pilih mushroom atau blackpepper . kedua nya mantap . kalau malam minggu lebih baik datang lebih cepat karena beberapa kali saya lihat mereka kehabisan . yang tersisa tinggal wagyu .",positive
kami menyediakan cook senang kitchen plasyset pink mainan masak masakan di lapak budiwastono,neutral
dengan melayani secara arogan maka saya tidak senang dengan perlakuan dari pelayanan pelanggan indosat,negative
"saudara-saudara yang ingkar janji , yang suka bohong , itu adalah para ku rawa saudara-saudara sekalian . tidak boleh kritik , harus santun . boleh bohong asal santun , boleh mencuri asal santun .",neutral
berbagi berkah bersama sinde ! dapatkan 50 paket umroh setiap pembelian minimal rp 15.000 di alfamart .,neutral
makan shabu shabu sambil ngobrol sama teman teman . tempat nya asik buat makan . harga nya tidak terlalu mahal .,positive
"untuk rasa biasa saja tidak membuat saya terkesan , dengan harga 33 ribu untuk mi ayam dan segelas lemon tea kata nya tapi yang disajikan bukan lemon tea malah jeruk nipis tea dengan ukuran gelas kecil terasa kurang menggigit di lidah , untuk pelayan perlu dilatih untuk melayani pelanggan dengan sepenuh hati bukan lips service saja",negative
"silakan ku njungi kedai kita buat yang kemarin cari handphone advan , xiaomi redmi 4a dan nokia 150",neutral
"salah satu restoran favorit saya di bandung . lokasi nya terpencil , tetapi masih terjangkau . menu makanan nya enak , sunda sekali . pemandangan nya indah , suasana nya memang membuat mata dan lidah semua terpuaskan . selesai makan sampai kenyang , jadi ingin tidur di saung nya .",positive
"bahkan di negeri di menjadi lgbt itu dihukum mati dengan dilempar dari gedung testing bahkan digantung , lgbt tetap ada ! terus lu mau bilang itu di luar kuasa illahi ? lu bakar diri lu saja .",negative
saya ke sini bersama istri dan anak saya . ke sini juga gara-gara melihat ulasan di inet . tempat nya di jalan riau persis bersebelahan sama outlet cascade atau heritage . dekorasi nya dibuat homy .. tempat duduk yang luas dan jarak antar meja yang berjauhan sehingga nyaman untuk mengobrol dan ketawa-ketawa tanpa ada yang protes . memang di sini khas nya adalah coffee and cake .,positive
"sudah makan di sini kemarin , pesan menu beef steak . dari lokasi , cukup nyaman . untuk menu , tampaknya masih perlu peningkatan rasa karena hidangan nya masih belum memenuhi pesanan . orange squash nya kurang enak soda - nya .",negative
"yang liburan dirumah bocoran internet bisa buat streaming youtube , nontonin film-film , atau kayak kakek netflix - an the flash semua session",neutral
air minum saja harus bayar . padahal kita sudah kepedasan . restoran mahal saja enggak kayak gitu .,negative
calon pelamar cpns hanya dapat mendaftar di 1 instansi dan 1 formasi jabatan,neutral
"gerai minuman di foodcourt griya metro , pilihan minuman terbatas minuman botol , kotak , dan air mineral , harga standar food court 3000 - 5000 .",positive
dulu pas sekolah berhasil terbeli handphone lenovo dan sempat ganti handphone jadi xiaomi redmi 3 s juga .,neutral
"jika ingin mendapatkan suasana makan yang tenang , nyaman dan nikmat . datanglah ke kampung daun . seakan anda makan di tengah-tengah alam perkampungan .",positive
