text,sentiment
dijual 131 makan siang cooler bagian tas bekal dengan lapisan penahan panas / dingin,neutral
"wahai jokowi , sampai kapan kamu berhenti membohongi rakyat lewat pencitraan mu yang sudah sangat membosankan ?",negative
"bakmi porsi besar , cukup enak tapi tidak luar biasa okelah letak di jalan besar strategis gampang ditemukan",positive
"peduli generasi muda dari bahaya narkoba , fpi malah dikriminalisasi aksi nahi munkar front pembela islam",neutral
harkulnas gojek digelar serentak loor di 11 kota di indonesia melibatkan 70.000 mervhant outlet go-food dan rekan usaha go - pay,neutral
"pemakaian kuota aplikasi dipaket freedom combo bisa digunakan untuk youtube , instagram , iflix , spotify , catchplay , klikfilm , mivo , maps , wa , bbm , line , facebook messenger , facebook , twitter , path , uber , grab , dan gojek .",neutral
"pelayanan nya ramah banget dari waiters nya , terutama pelayanan dari mas andri untuk rekomendasi wine nya . pemandangan nya sudah pasti bagus . harga nya setimpal . tempat nya nyaman , nyaman banget , pokok nya direkomendasikan banget the 18th restaurant and lounge",positive
"tempat yang cocok untuk relax dengan keluarga , pelayanan nya bagus , makanan enak dan yang pemandangan / pemandangan nya mantap .",positive
"cucu mantan dirut pertamina era suharto ? yakin itu harta , bukan hasil korupsi ? bermewah-mewah dari hasil korupsi ? apakah di negara ini , tidak punya budaya malu , makan hasil korupsi .",negative
kami menyediakan cook senang kitchen plasyset pink mainan masak masakan di lapak budiwastono,neutral
masakan average tetapi lokasi amat cantik . air terjun kotor pollution . makanan lambat sampai dan mahal .,positive
kami makan malambdi sate maulana yusup di jalan . yusup . kami pesan sate ayam . sate sapi dan sate kambing . yang enak adalah sate ayam . sate kambing dan sapi juga okelah . karena kebanyakan pengunjung mengakibatan agak terlambat dan kewalahan bakar sate nya . tapi bumbu kacang cabe rawit sejak lama sudah siap . sate maulana yusup sudah terkenal sejak lama .,positive
"malam itu saya bersama pasangan saya memutuskan untuk mencari makanan pengganjal perut selepas pulang kerja . pilihan saya jatuh pada kafe ini , yang saya ku njungi adalah kafe madtari yang berada di jalan rangga gading , yang dekat dengan dago plaza . waktu itu saya memesan roti bakar susu keju dan mi rebus telor kornet . kesan pertama yang saya dapat adalah harga yang ditawarkan mahal .",negative
selalu memesan beef yakini ku rice bowl with spinach topping . teh terbaik beef yakini ku karena potong tipis-tipis and yummy banget enak di mulut . jangan lupa memesan chicken karaage nya yang enak pol .,positive
"sehabis puas bermain di trans studio bandung , saya bersama teman sepakat untuk makan ayam kakek di sini . ayam nya selalu enak dan gurih !",positive
"lebih untung beli ori014 di bni , cashback 0,2 % untuk dana freshfund amp ; 0,05 % untuk non freshfund .",positive
si pesek lagi mengompol kali . muka dengan pantat tidak ada beda nya,negative
agaricpro merupakan produk herbal madu terfermentasi yang multikompleks khasiat nya karena merupakan kombinasi dari berbagai tumbuhan herbal,neutral
"pilih es krim rhum raisin jika ingin merasakan sensasi hangat dan aroma rhum . sayang nya ini mengandung alcohol . tempat nya nyaman untuk duduk-duduk sambal sekadar minum the pun . pelayan nya pun ramah dan sigap . ini salah satu resto tua di bandung , jadi banyak sekali turis-turis bule tua yang mampir di sini . mungkin dulu semasa muda mereka sering ke sini .",positive
jika kita biarkan manusia busuk ini hidup di negara kita . bisa-bisa negara kita benar-benar bubar .,negative
suasana alam dan pemandangan yang menawan . makan makanan sunda di dalam saung tertutup di pinggir danau dengan pemandangan langsung ke gunung dan udara yang sejuk sungguh suatu pengalaman yang menyenangkan .,positive
"peran politik gaek tua menjadi king maker . bisa jadi pak . seperti say , handphone , ht bahan prabowo pun calon presiden 2019 muda . seperti tsb , ahy , prediksi calon presiden gaek tua seperti jokowi dan prabowo entahlah tunggu pasar politik dan nuansa partai bergejolak 2018 politik makin memanas",neutral
"polres majalengka , kapolsek kadipaten kompol drs edy budi peamono silaturahmi dengan teten heri , tokoh ormas fpi warga desa karangsambung .",neutral
"demi allah ini sadis pak anies diginiin . pak anies itu pejabat negara dan tuan rumah jakarta , sadis biadab rezim sekarang . jangan pilih pdip dan partai pendukung penista agama .",negative
mobil toyota rush mengalami kecelakaan di ruas tol jomo jombang - mojokerto .,neutral
"berlokasi di daerah ciumbuleuit , agak terpencil . tapi kafe ini sudah cukup lama ada , tadinya hanya berupa halaman rumah yang di sulap menjadi tempat makan terbuka di taman . sederhana dan sunyi , buat mereka yang ingin nongkrong di cafe tanpa keributan / hiruk pikuk dan terlalu banyak orang , di sini tempat nya . makanan cukup oke dan bisa bersama lama .",positive
"bersama srikandi anggota dpr ri melani leimena , bersiap dengarkan pidato politik awal tahun di dpc kab. bogor",neutral
