text,sentiment
"resto yang menawarkan galeri alami dan kafe serta memanjakan pengunjung untuk menikmati alam dan suasana pedesaan yang hening . penataan nya sangat unik dan mengesankan . resto menawarkan berbagai menu seperti nasi timbel , rawon , sop buntut , steak , pizza , pasta , gurame goreng , gurame bakar , nasi goreng dan sebagai nya . nasi timbel rasanya nikmat . gurame goreng rasanya renyah . rawon terasa segar dan mantap . makan di sini sangat romantis .",positive
selama iblis binatang ini jadi kapolri jangan berharap ada keadilan terhadap islam dia ini pki berkedok islam .,negative
"kalau bca / bri / bank mandiri termasuk indomaret bekerja sama dengan cara , masa iya sih legalitas car dipertanyakan . capekdech",negative
"positif : - atmosfir dengan kursi dan meja dengan kayu berkualitas negatif : - menu makanan banyak yang tidak tersedia - harga tidak nilai untuk uang - pelayanan kurang memuaskan - nasi liwet yang tidak standar , order 2 kuali yang satu asin standar , yang satu asin banget",negative
"calais minuman bubble favorit saya dan keluarga . rasanya enak dan menyegerkan . biasanya saya pesan rose milk tea dengan coffee jelly , selain bikin segar juga bikin kenyang . karena coffeejelly nya dikasi nya banyak . tempat nya juga nyaman , anak dan suami bisa menunggu di calais kalau saya belanja di supermarket yang satu area dengan calais . nongkrong dengan teman juga asik di calais . colokan ada .",positive
harga cukup terjangkau untuk resto thailand . greentea nya sangat enak . lebih oke kalau beli paketan karena jadi lebih murah di banding satuan . daging nya enak dan sayura nya pun segar . harga mulai dari 6 ribu an . harus coba karena beda dari yang lain . buat penyuka pedas ada sambal 4 rasa gratis,positive
"saya dulu pernah buka tabungan airasia saver , karena setahun sudah tidak dipakai , maka hangus .",neutral
sate goreng ditawarkan sebagai spesiality oleh pelayan . ternyata hanya 2 potong iga sapi dengan sedikit sekali daging . lebih banyak lemak dan urat . yang lainnya masih oke .,negative
"lounge yang berada di lantai 3 di hotel grandia ini termasuk baru . membawa konsep city lounge cukup menarik perhatian dengan berlatar belakang pasupati fly over yang merupakan icon di kota bandung . saya datang pada saat ada peristiwa di hari jumat tanggal 5 february kemarin . pengunjung cukup ramai , dengan pilihan menu yang cukup variatif ditambah ada nya promo bir , ini yang menarik .",positive
"tweeps , bila kamu selesai transaksi mengirim , pastikan cek kembali alamat di resi sebelum meninggalkan counter jne pondok timur ya",neutral
"tempat parkir nya kecil sekali , setelah perjuangan masuk ke tempat parkir saat masuk kita dilarang parkir di depan warung nya , jadi mau parkir di mana dong ? langsung saja kami keluar lagi . kecewa .",negative
semua bajingan bule kristen kulit putih yang sekarang lagi di amerika itu semuanya illegal,negative
"partai dukung uu perppu ormas dengan syarat hanya alasan semata , bukti nya sampai sekarang belum direvisi",negative
"pertama kali mencoba ke richeese factory minggu , 22 maret 2015 . sekalian jalan pulang , saya dan pasangan mampir untuk makan siang . pesan menu 4 bulgogi spicy wings level 1 , 1 chicken spicy level 3 , 1 stroberi kue in a cup . rasa ayam nya enak ditambah dengan kelezatan saus keju nya yang pas , minuman nya saya tidak tahu nama nya apa yang pasti ada rasa stroberi .",positive
