text,sentiment,cleaning,casefolding,tokenizing,normalisasi,stopword,steeming,cleaned
: menangkan bolt super 4 tidak lte amp ; merchandise untuk lucky downloader bni experience !,neutral, menangkan bolt super tidak lte amp merchandise untuk lucky downloader bni experience , menangkan bolt super tidak lte amp merchandise untuk lucky downloader bni experience ,"['menangkan', 'bolt', 'super', 'tidak', 'lte', 'amp', 'merchandise', 'untuk', 'lucky', 'downloader', 'bni', 'experience']","['menangkan', 'bolt', 'super', 'tidak', 'lte', 'amp', 'merchandise', 'untuk', 'lucky', 'downloader', 'bni', 'experience']","['menangkan', 'bolt', 'super', 'lte', 'amp', 'merchandise', 'lucky', 'downloader', 'bni', 'experience']","['menang', 'bolt', 'super', 'lte', 'amp', 'merchandise', 'lucky', 'downloader', 'bni', 'experience']",menang bolt super lte amp merchandise lucky downloader bni experience
"sudirman said jadi cagub jateng amp ; calon wakil gubernur nya ada 3 silakan filih mau mohammad riza chalid , setya novanto ato maroef sjamsoeddin beamingfacewithsmilingeyes",neutral,sudirman said jadi cagub jateng amp calon wakil gubernur nya ada silakan filih mau mohammad riza chalid setya novanto ato maroef sjamsoeddin beamingfacewithsmilingeyes,sudirman said jadi cagub jateng amp calon wakil gubernur nya ada silakan filih mau mohammad riza chalid setya novanto ato maroef sjamsoeddin beamingfacewithsmilingeyes,"['sudirman', 'said', 'jadi', 'cagub', 'jateng', 'amp', 'calon', 'wakil', 'gubernur', 'nya', 'ada', 'silakan', 'filih', 'mau', 'mohammad', 'riza', 'chalid', 'setya', 'novanto', 'ato', 'maroef', 'sjamsoeddin', 'beamingfacewithsmilingeyes']","['sudirman', 'said', 'jadi', 'cagub', 'jateng', 'amp', 'calon', 'wakil', 'gubernur', 'nya', 'ada', 'silakan', 'filih', 'mau', 'mohammad', 'riza', 'chalid', 'setya', 'novanto', 'atau', 'maroef', 'sjamsoeddin', 'beamingfacewithsmilingeyes']","['sudirman', 'said', 'cagub', 'jateng', 'amp', 'calon', 'wakil', 'gubernur', 'nya', 'silakan', 'filih', 'mohammad', 'riza', 'chalid', 'setya', 'novanto', 'maroef', 'sjamsoeddin', 'beamingfacewithsmilingeyes']","['sudirman', 'said', 'cagub', 'jateng', 'amp', 'calon', 'wakil', 'gubernur', 'nya', 'sila', 'filih', 'mohammad', 'riza', 'chalid', 'setya', 'novanto', 'maroef', 'sjamsoeddin', 'beamingfacewithsmilingeyes']",sudirman said cagub jateng amp calon wakil gubernur nya sila filih mohammad riza chalid setya novanto maroef sjamsoeddin beamingfacewithsmilingeyes
"selamat sore ibu , perihal produk perbankan bank mandiri apa yang dapat kami bantu ? yogi",neutral,selamat sore ibu perihal produk perbankan bank mandiri apa yang dapat kami bantu yogi,selamat sore ibu perihal produk perbankan bank mandiri apa yang dapat kami bantu yogi,"['selamat', 'sore', 'ibu', 'perihal', 'produk', 'perbankan', 'bank', 'mandiri', 'apa', 'yang', 'dapat', 'kami', 'bantu', 'yogi']","['selamat', 'sore', 'ibu', 'perihal', 'produk', 'perbankan', 'bank', 'mandiri', 'apa', 'yang', 'dapat', 'kami', 'bantu', 'yogi']","['selamat', 'sore', 'perihal', 'produk', 'perbankan', 'bank', 'mandiri', 'bantu', 'yogi']","['selamat', 'sore', 'perihal', 'produk', 'perban', 'bank', 'mandiri', 'bantu', 'yogi']",selamat sore perihal produk perban bank mandiri bantu yogi
makan shabu shabu sambil ngobrol sama teman teman . tempat nya asik buat makan . harga nya tidak terlalu mahal .,positive,makan shabu shabu sambil ngobrol sama teman teman tempat nya asik buat makan harga nya tidak terlalu mahal ,makan shabu shabu sambil ngobrol sama teman teman tempat nya asik buat makan harga nya tidak terlalu mahal ,"['makan', 'shabu', 'shabu', 'sambil', 'ngobrol', 'sama', 'teman', 'teman', 'tempat', 'nya', 'asik', 'buat', 'makan', 'harga', 'nya', 'tidak', 'terlalu', 'mahal']","['makan', 'shabu', 'shabu', 'sambil', 'mengobrol', 'sama', 'teman', 'teman', 'tempat', 'nya', 'asik', 'buat', 'makan', 'harga', 'nya', 'tidak', 'terlalu', 'mahal']","['makan', 'shabu', 'shabu', 'mengobrol', 'teman', 'teman', 'nya', 'asik', 'makan', 'harga', 'nya', 'mahal']","['makan', 'shabu', 'shabu', 'obrol', 'teman', 'teman', 'nya', 'asik', 'makan', 'harga', 'nya', 'mahal']",makan shabu shabu obrol teman teman nya asik makan harga nya mahal
mj toko surabaya lantai 1 blok h3 no. 52 mengucapkan selamat tahun baru 2018,neutral,mj toko surabaya lantai blok h no mengucapkan selamat tahun baru ,mj toko surabaya lantai blok h no mengucapkan selamat tahun baru ,"['mj', 'toko', 'surabaya', 'lantai', 'blok', 'h', 'no', 'mengucapkan', 'selamat', 'tahun', 'baru']","['mj', 'toko', 'surabaya', 'lantai', 'blok', 'h', 'no', 'mengucapkan', 'selamat', 'tahun', 'baru']","['mj', 'toko', 'surabaya', 'lantai', 'blok', 'h', 'no', 'selamat']","['mj', 'toko', 'surabaya', 'lantai', 'blok', 'h', 'no', 'selamat']",mj toko surabaya lantai blok h no selamat
dia ketahuan bikin indomie goreng jumbo padahal kan kalau 1 itu tidak kenyang .,neutral,dia ketahuan bikin indomie goreng jumbo padahal kan kalau itu tidak kenyang ,dia ketahuan bikin indomie goreng jumbo padahal kan kalau itu tidak kenyang ,"['dia', 'ketahuan', 'bikin', 'indomie', 'goreng', 'jumbo', 'padahal', 'kan', 'kalau', 'itu', 'tidak', 'kenyang']","['dia', 'ketahuan', 'bikin', 'indomie', 'goreng', 'jumbo', 'padahal', 'kan', 'kalau', 'itu', 'tidak', 'kenyang']","['ketahuan', 'bikin', 'indomie', 'goreng', 'jumbo', 'kenyang']","['tahu', 'bikin', 'indomie', 'goreng', 'jumbo', 'kenyang']",tahu bikin indomie goreng jumbo kenyang
"mi senang nya enak , paikut nya biasa saja . pesan bubur tapi sudah kehabisan padahal baru jam 9:30 pagi . ruangan cukup pengap karena tidak semua ac dinyalakan . harga kategori medium , tidak murah dan tidak terlalu tinggi .",positive,mi senang nya enak paikut nya biasa saja pesan bubur tapi sudah kehabisan padahal baru jam pagi ruangan cukup pengap karena tidak semua ac dinyalakan harga kategori medium tidak murah dan tidak terlalu tinggi ,mi senang nya enak paikut nya biasa saja pesan bubur tapi sudah kehabisan padahal baru jam pagi ruangan cukup pengap karena tidak semua ac dinyalakan harga kategori medium tidak murah dan tidak terlalu tinggi ,"['mi', 'senang', 'nya', 'enak', 'paikut', 'nya', 'biasa', 'saja', 'pesan', 'bubur', 'tapi', 'sudah', 'kehabisan', 'padahal', 'baru', 'jam', 'pagi', 'ruangan', 'cukup', 'pengap', 'karena', 'tidak', 'semua', 'ac', 'dinyalakan', 'harga', 'kategori', 'medium', 'tidak', 'murah', 'dan', 'tidak', 'terlalu', 'tinggi']","['mi', 'senang', 'nya', 'enak', 'paikut', 'nya', 'biasa', 'saja', 'pesan', 'bubur', 'tapi', 'sudah', 'kehabisan', 'padahal', 'baru', 'jam', 'pagi', 'ruangan', 'cukup', 'pengap', 'karena', 'tidak', 'semua', 'ac', 'dinyalakan', 'harga', 'kategori', 'medium', 'tidak', 'murah', 'dan', 'tidak', 'terlalu', 'tinggi']","['mi', 'senang', 'nya', 'enak', 'paikut', 'nya', 'pesan', 'bubur', 'kehabisan', 'jam', 'pagi', 'ruangan', 'pengap', 'ac', 'dinyalakan', 'harga', 'kategori', 'medium', 'murah']","['mi', 'senang', 'nya', 'enak', 'paikut', 'nya', 'pesan', 'bubur', 'habis', 'jam', 'pagi', 'ruang', 'pengap', 'ac', 'nyala', 'harga', 'kategori', 'medium', 'murah']",mi senang nya enak paikut nya pesan bubur habis jam pagi ruang pengap ac nyala harga kategori medium murah
berdebat dengan para ahli kitab yang lemah syahwat itu menyebalkan . dikritik bgtu malah dibilang sesat . dikasih dalil minta tafsir . dikasih tafsir minta logika . kalau tidak sesuai dengan syahwat mereka ya tetap dinista ?,negative,berdebat dengan para ahli kitab yang lemah syahwat itu menyebalkan dikritik bgtu malah dibilang sesat dikasih dalil minta tafsir dikasih tafsir minta logika kalau tidak sesuai dengan syahwat mereka ya tetap dinista ,berdebat dengan para ahli kitab yang lemah syahwat itu menyebalkan dikritik bgtu malah dibilang sesat dikasih dalil minta tafsir dikasih tafsir minta logika kalau tidak sesuai dengan syahwat mereka ya tetap dinista ,"['berdebat', 'dengan', 'para', 'ahli', 'kitab', 'yang', 'lemah', 'syahwat', 'itu', 'menyebalkan', 'dikritik', 'bgtu', 'malah', 'dibilang', 'sesat', 'dikasih', 'dalil', 'minta', 'tafsir', 'dikasih', 'tafsir', 'minta', 'logika', 'kalau', 'tidak', 'sesuai', 'dengan', 'syahwat', 'mereka', 'ya', 'tetap', 'dinista']","['berdebat', 'dengan', 'para', 'ahli', 'kitab', 'yang', 'lemah', 'syahwat', 'itu', 'menyebalkan', 'dikritik', 'begitu', 'malah', 'dibilang', 'sesat', 'dikasih', 'dalil', 'minta', 'tafsir', 'dikasih', 'tafsir', 'minta', 'logika', 'kalau', 'tidak', 'sesuai', 'dengan', 'syahwat', 'mereka', 'ya', 'tetap', 'dinista']","['berdebat', 'ahli', 'kitab', 'lemah', 'syahwat', 'menyebalkan', 'dikritik', 'dibilang', 'sesat', 'dikasih', 'dalil', 'tafsir', 'dikasih', 'tafsir', 'logika', 'sesuai', 'syahwat', 'ya', 'dinista']","['debat', 'ahli', 'kitab', 'lemah', 'syahwat', 'sebal', 'kritik', 'bilang', 'sesat', 'kasih', 'dalil', 'tafsir', 'kasih', 'tafsir', 'logika', 'sesuai', 'syahwat', 'ya', 'nista']",debat ahli kitab lemah syahwat sebal kritik bilang sesat kasih dalil tafsir kasih tafsir logika sesuai syahwat ya nista
hai tolong bantu saya tidak bisa input tidak resi jne dan kenomor resi sudah dipakai .,neutral,hai tolong bantu saya tidak bisa input tidak resi jne dan kenomor resi sudah dipakai ,hai tolong bantu saya tidak bisa input tidak resi jne dan kenomor resi sudah dipakai ,"['hai', 'tolong', 'bantu', 'saya', 'tidak', 'bisa', 'input', 'tidak', 'resi', 'jne', 'dan', 'kenomor', 'resi', 'sudah', 'dipakai']","['hai', 'tolong', 'bantu', 'saya', 'tidak', 'bisa', 'input', 'tidak', 'resi', 'jne', 'dan', 'kenomor', 'resi', 'sudah', 'dipakai']","['hai', 'tolong', 'bantu', 'input', 'resi', 'jne', 'kenomor', 'resi', 'dipakai']","['hai', 'tolong', 'bantu', 'input', 'resi', 'jne', 'nomor', 'resi', 'pakai']",hai tolong bantu input resi jne nomor resi pakai
"aku pernah instal traveloka , tapi karena tidak kepake akhirnya aku uninstal lagi",neutral,aku pernah instal traveloka tapi karena tidak kepake akhirnya aku uninstal lagi,aku pernah instal traveloka tapi karena tidak kepake akhirnya aku uninstal lagi,"['aku', 'pernah', 'instal', 'traveloka', 'tapi', 'karena', 'tidak', 'kepake', 'akhirnya', 'aku', 'uninstal', 'lagi']","['aku', 'pernah', 'instal', 'traveloka', 'tapi', 'karena', 'tidak', 'kepake', 'akhirnya', 'aku', 'uninstal', 'lagi']","['instal', 'traveloka', 'kepake', 'uninstal']","['instal', 'traveloka', 'kepake', 'uninstal']",instal traveloka kepake uninstal
