text,sentiment
bagus . alam sekali makanan oke rasa biasa cuma agak pricey kalau malam lebih remang-remang dingin utan sekali tempat wajib kalau ke bandung nih,positive
"the valley adalah tujuan utama ke bandung , beragam jenis makanan , pemandangan yang indah , menginjak malam hari , lampu kerlap lerlip menghiasi membuat suasana makan malam menjadi semakin romantis .",positive
"ibu sri tahu tidak harga karet dipetani dalam 3 tahun ini miris . listrik mahal , gas mahal dan langka . turun dari mana logika nya ? zaman bisa 13 ribu / kg . 3 tahun pe 5500 / kg",negative
"kampung daun merupakan tempat makan dengan suasana alam yang sejuk . terletakdi kabupaten bandung . suasana nya sangat menyenangkan sekali , di sekitar nya ditumbuhi pepohonan yang rindang , se olah olah berada di tengah hutan , dengan lingkungan yang teduh ditambah dengan suguhan makanan khas sunda yang rasanya ada pedas pedas nya menambah asik nya suasana . tidak hanya makanan nya , aneka minuman khas jawa barat pun ada .",positive
"sistem pelayanan di cost telah berubah menjadi sistem mandiri sel - pelayanan . harga makanan juga mengalamai kenaikan dengan porsi yang sama besar . walau harga tetap oke dan tidak dikategorikan mahal , namun kepuasan secra rata-rata yang saya terima menurun dibanding sebelum sistem berubah .",positive
"paket gim benar-benar mantap ! yang megah harus makan di sini , dijamin makin keren ! bravo !",positive
buat anda yang mencari resto dengan suasana yang romantis tidak salah lagi ke sini saja . dan kalau rendah anda pas-pasan pesan saja menu yang ringan-ringan . jangan terkecoh dengan picture di buku menu kalau tidak mau menyesal . menu suki nya lebih oke tapi kayak nya ngapain ya jauh-jauh bermacet ria ke sini cuma mencari itu . di kota lebih afdol kayak nya . pemandangan bandung malam nya memegang .,negative
rasis . tapi kenyataan kan ? jawab dong kalau memang kamu pintar . benar kan . coba sebutkan tokoh yang menginspirasi sunda ? dosen itb saja bukan dari sunda,negative
"sangat tidak direkomendasikan , rasa yang cukup enak namun dengan harga yang terlampau mahal . masih banyak tempat lain yang menyediakan makanan serupa dengan harga yang lebih murah",negative
untuk lebih jelas nya kami sarankan kepada kamu menghubungi jne melalui kontak center di : 021 2927 8888 ataupun melalui email di : customercare.co.id untuk menanyakan status dari barang yang kamu kirim -,neutral
"untuk giggle box istana plaza , pada awal nya , kami sangat suka dengan tempat nya yang sangat menarik dan makanan yang enak , dan sempat merekomendasikan ke teman , tetapi setelah kunjungan yang ke 7 , tepat nya tanggal 13.08.13 pukul . 19.00 - / kami pesan grilled chicken dan chicken brisket schnitze , menu pertama sangat enak , tetapi ketika kami hendak makan potongan pertama menu kedua itu sangat tidak layak untuk dimakan .",negative
"lumayan . suasana nya nyunda banget , pakai piring dan gelas seng , juga terdapat makanan pelengkap lainnya seperti kue balok , arumanis , es goyobod , karedok , bandros , dan lain-lain . pas deh dengan kantong mahasiswa .",positive
"pengin roti bakar coklat keju , roti bakar kornet , indomie goreng kornet keju telur nya doyok kelapa gading downcastfacewithsweat smirkingface",neutral
"hanamasa sudah ada sejak zaman saya kuliah letak nya waktu itu di depan bip jalan merdeka , ala kamu bisa makan ambil sendiri , masak sendiri , mantap rasanya .",positive
"semua enak . mi abu-abu , mi black , tahu cocol dan sayap ayam nya mantap . buat makan camilan bisa di sini .",positive
"demi jokowi - ahy pilpres 2019 , sudahkah minta maaf kepada : dan yang dikhianati say ? by - l",neutral
lokasi nya oke banget buat foto-foto . datang pada saat sore menjelang malam ketika lampu-lampu akan dinyalakan . romantis sekali . makanan nya biasa saja tidak ada yang spesial,negative
"baju batik pasangan pria dan wanita dari bahan katun prodo kombinasi balotelli tersedia pada size : kemeja pria : m - xl detail size : m : ld 96 cm : ld 106 hanya xl : ld 110 cm dan baju wanita : allsize fit to xxl rok model instant siap pink , biru , hijaudan kuning idr : 190 ribu",neutral
bakmi tasik saya dan beberapa teman mampir dan coba bakmi bakso nya . makanan nya biasa-biasa saja . tidak ada yang special .,negative
jogja memang tolol dan miskin . kenapa tidak buka pom bensin shell . mau aja lo semua dimonopoli pertamina . bodo,negative
"tempat ini sungguh sangat mengasyikkan . terkahir ke sini saya bersama rekan rekan dan tamu kantor untuk bersantap malam di sini . mungkin ada sekitar 30 orang dan tempat nya cukup tidak kurang satu apa pun , pelayanan nya pun sangat baik . makanan nya enak-enak , terutama pizza nya dan banana pancake nya pun mantap ! selain makanan , tempat nya pun sungguh sangat terjangkau karena berada di tengah tengah kota .",positive
"bani kampret doyan micin kalau pakde jokowi imlek pasti dibilang haramlah dan antek kafirlah tapi coba kalau anies cari muka pakai baju imlek dan ke vihara petak sembilan , apakah sialan masih konsisten berani mengucapkan ke anies haram juga dan antek kafir ?",negative
"gerindra , partai pki zaman sekarang . pendana mca atau saracen . pemecah nkri . jualan agama dan mayat walau ketum nya tidak bisa ngaji . muslim kah ?",negative
"eksepsi ditolak , setya novanto akan jalani sidang e-ktp 2 kali sepekan senin - kamis",neutral
"pertama kali saya makan di sini secara tidak sengaja karena melihat antrean orang di depan restauran . rasanya enak , porsi mengenyangkan , harga terjangkau . kalau tidak terlalu lapar , sebaiknya pesan 1 / 2 porsi saja .",positive
